event_uid,dataset_id,event_date,date_quality,has_bbox,has_dem_core,has_worldcover_core,has_static_core,has_weather_window,has_smap_pool,has_era5_dlr,strict_t1_static,strict_t2_static_weather_smap,strict_t3_static_era5_dlr,missing_reasons,trigger_type,download_group,n_samples,release_tag
DLR_BR0001,DLR_Landslide_Ref_2025,2019-01-25,exact,1,1,1,1,1,1,1,1,1,1,,complex,core,1,PILD_v1_strict_T2
DLR_CA0001,DLR_Landslide_Ref_2025,2021-04-22,exact,1,1,1,1,1,1,1,1,1,1,,snowmelt,core,1,PILD_v1_strict_T2
DLR_CA0002,DLR_Landslide_Ref_2025,2019-05-16,exact,1,1,1,1,1,1,1,1,1,1,,snowmelt,core,1,PILD_v1_strict_T2
DLR_CL0001,DLR_Landslide_Ref_2025,2017-12-16,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,1,PILD_v1_strict_T2
DLR_CL0002,DLR_Landslide_Ref_2025,2021-11-09,exact,1,1,1,1,1,1,1,1,1,1,,complex,core,1,PILD_v1_strict_T2
DLR_CN0001,DLR_Landslide_Ref_2025,2017-06-24,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,1,PILD_v1_strict_T2
DLR_CN0002,DLR_Landslide_Ref_2025,2020-07-20,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,1,PILD_v1_strict_T2
DLR_CO0001,DLR_Landslide_Ref_2025,2022-07-13,exact,1,1,1,1,1,1,1,1,1,1,,complex,core,1,PILD_v1_strict_T2
DLR_GT0001,DLR_Landslide_Ref_2025,2020-11-05,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,1,PILD_v1_strict_T2
DLR_IE0001,DLR_Landslide_Ref_2025,2021-07-04,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,4,PILD_v1_strict_T2
DLR_IN0001,DLR_Landslide_Ref_2025,2021-08-13,exact,1,1,1,1,1,1,1,1,1,1,,complex,core,1,PILD_v1_strict_T2
DLR_IN0004,DLR_Landslide_Ref_2025,2022-06-30,exact,1,1,1,1,1,1,1,1,1,1,,unknown,core,1,PILD_v1_strict_T2
DLR_IR0001,DLR_Landslide_Ref_2025,2019-03-22,exact,1,1,1,1,1,1,1,1,1,1,,unknown,core,2,PILD_v1_strict_T2
DLR_IR0002,DLR_Landslide_Ref_2025,2018-06-16,exact,1,1,1,1,1,1,1,1,1,1,,unknown,core,1,PILD_v1_strict_T2
DLR_IS0001,DLR_Landslide_Ref_2025,2018-07-07,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,1,PILD_v1_strict_T2
DLR_IT0001,DLR_Landslide_Ref_2025,2019-01-29,exact,1,1,1,1,1,1,1,1,1,1,,unknown,core,1,PILD_v1_strict_T2
DLR_JP0001,DLR_Landslide_Ref_2025,2021-07-03,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,1,PILD_v1_strict_T2
DLR_KG0001,DLR_Landslide_Ref_2025,2020-09-14,exact,1,1,1,1,1,1,1,1,1,1,,unknown,core,1,PILD_v1_strict_T2
DLR_KG0002,DLR_Landslide_Ref_2025,2017-04-19,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,34,PILD_v1_strict_T2
DLR_KR0001,DLR_Landslide_Ref_2025,2020-08-07,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,1,PILD_v1_strict_T2
DLR_NZ0001,DLR_Landslide_Ref_2025,2018-02-24,exact,1,1,1,1,1,1,1,1,1,1,,unknown,core,1,PILD_v1_strict_T2
DLR_PH0001,DLR_Landslide_Ref_2025,2022-04-10,exact,1,1,1,1,1,1,1,1,1,1,,rainfall,core,1,PILD_v1_strict_T2
DLR_PH0003,DLR_Landslide_Ref_2025,2022-04-10,exact,1,1,1,1,1,1,1,1,1,1,,storm,core,1,PILD_v1_strict_T2
DLR_PH0004,DLR_Landslide_Ref_2025,2022-04-10,exact,1,1,1,1,1,1,1,1,1,1,,storm,core,1,PILD_v1_strict_T2
DLR_PK0001,DLR_Landslide_Ref_2025,2021-07-05,exact,1,1,1,1,1,1,1,1,1,1,,unknown,core,1,PILD_v1_strict_T2
