physical_event_id,event_uids,source_scenes,n_samples,n_q_visual_temporal,q_visual_temporal_fraction,optical_valid_fraction_mean,optical_valid_fraction_min,cloud_fraction_mean,terrain_valid_fraction_mean,terrain_valid_fraction_min,q_M_mean,q_M_full_mean,lithology_classes,lithology_boundary_crossing_fraction,q_R,q_R_reason,physical_trigger_family,rain_d7_case_minus_wrongtime_mm,hard_geospatial_pass,hard_temporal_pass,primary_event_included,terrain_eligible,material_eligible,trigger_eligible,full_tmr_eligible,primary_decision_reason,material_decision_reason,trigger_decision_reason
PEV1_2019-05-16_3ce3e7c0cc5e,DLR_CA0002,CA0002,26,3,0.11538461538461539,0.2842360276442308,0.0,0.5520417085633829,1.0,1.0,0.9999999999999998,0.9135225885225368,2,0.3846153846153846,0,mechanism_not_rainfall,snowmelt,,True,False,False,False,False,False,False,event_four_date_quality_fraction_below_0.80;event_optical_valid_fraction_below_0.99;fewer_than_5_temporally_valid_samples,q_M_full_mean_below_0.80_or_primary_event_excluded,mechanism_not_rainfall
PEV1_2021-07-03_abed717933f3,DLR_JP0001,JP0001,7,7,1.0,1.0,1.0,0.0069580078125,1.0,1.0,0.997062699642912,0.7738095238095238,1,0.0,1,rainfall_strict_d7_complete,hydrometeorological,244.0807819366455,True,True,True,True,False,True,False,included,q_M_full_mean_below_0.80_or_primary_event_excluded,eligible
PEV1_2022-04-10_c414474e07d3,DLR_PH0001;DLR_PH0003;DLR_PH0004,PH0001;PH0003;PH0004,32,32,1.0,1.0,1.0,0.43320608139038086,1.0,1.0,0.9448751963663488,0.7989875637755102,1,0.0,1,rainfall_strict_d7_complete,hydrometeorological,300.26485991477966,True,True,True,True,False,True,False,included,q_M_full_mean_below_0.80_or_primary_event_excluded,eligible
PEV1_2021-04-22_1d7144b92e7c,DLR_CA0001,CA0001,30,30,1.0,1.0,1.0,0.4664825439453125,1.0,1.0,0.9999999999999782,0.820817901234568,2,0.3333333333333333,0,mechanism_not_rainfall,snowmelt,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2022-07-13_60da37113a85,DLR_CO0001,CO0001,6,6,1.0,1.0,1.0,0.23666890462239584,1.0,1.0,0.9999999999999796,0.8835978835978837,1,0.5,0,mechanism_not_rainfall,complex,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2021-07-05_5165982b2d14,DLR_PK0001,PK0001,22,22,1.0,1.0,1.0,0.34046519886363635,1.0,1.0,1.0,0.9498320792963648,1,0.0,0,mechanism_not_rainfall,unknown,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2019-01-29_5748176c3f4d,DLR_IT0001,IT0001,8,8,1.0,1.0,1.0,0.00229644775390625,1.0,1.0,1.0,0.9706632653061223,1,0.0,0,mechanism_not_rainfall,unknown,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2019-01-25_9986c59a114e,DLR_BR0001,BR0001,43,43,1.0,1.0,1.0,0.0001206508902616279,1.0,1.0,0.9999999999999982,0.9976005906238368,1,0.3023255813953488,0,mechanism_not_rainfall,complex,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2018-06-16_5c4935bb442f,DLR_IR0002,IR0002,7,7,1.0,1.0,1.0,0.007952008928571428,1.0,1.0,1.0,0.9999999999999484,1,0.4285714285714285,0,mechanism_not_rainfall,unknown,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2018-02-24_4ba12cbf7bc8,DLR_NZ0001,NZ0001,9,9,1.0,1.0,1.0,0.0004543728298611111,1.0,1.0,1.0,0.9999999999999948,1,0.0,0,mechanism_not_rainfall,unknown,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2021-11-09_76b007b00de5,DLR_CL0002,CL0002,9,9,1.0,1.0,1.0,0.2754584418402778,1.0,1.0,1.0,0.9999999999999956,1,0.6666666666666666,0,mechanism_not_rainfall,complex,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2021-07-04_256213123ac1,DLR_IE0001,IE0001,11,11,1.0,1.0,1.0,0.014240611683238636,1.0,1.0,1.0,0.999999999999998,1,0.2727272727272727,0,incomplete_chirps_coverage,hydrometeorological,,True,True,True,True,True,False,False,included,eligible,incomplete_chirps_coverage
PEV1_2018-07-07_f6175981ffe8,DLR_IS0001,IS0001,23,23,1.0,1.0,1.0,0.2523757271144701,1.0,1.0,1.0,0.9999999999999984,2,0.5217391304347826,0,incomplete_chirps_coverage,hydrometeorological,,True,True,True,True,True,False,False,included,eligible,incomplete_chirps_coverage
PEV1_2019-03-22_07769e96cde6,DLR_IR0001,IR0001,10,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,mechanism_not_rainfall,unknown,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2020-09-14_cb41c093b2af,DLR_KG0001,KG0001,9,9,1.0,1.0,1.0,0.023471408420138888,1.0,1.0,1.0,1.0,2,0.6666666666666666,0,mechanism_not_rainfall,unknown,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2021-08-13_0078a3c13cac,DLR_IN0001,IN0001,7,7,1.0,0.9998256138392857,0.999267578125,0.4012835706983294,1.0,1.0,1.0,1.0,1,0.0,0,mechanism_not_rainfall,complex,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2022-06-30_8fc32ba6520f,DLR_IN0004,IN0004,9,9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,mechanism_not_rainfall,unknown,,True,True,True,True,True,False,False,included,eligible,mechanism_not_rainfall
PEV1_2017-12-16_56641239821c,DLR_CL0001,CL0001,57,57,1.0,1.0,1.0,0.18673491896244518,1.0,1.0,0.9999999999999888,0.9470302740979074,5,0.8771929824561403,1,rainfall_strict_d7_complete,hydrometeorological,23.579565048217773,True,True,True,True,True,True,True,included,eligible,eligible
PEV1_2017-04-19_7d04b38e7d8c,DLR_KG0002,KG0002,160,160,1.0,1.0,1.0,0.30498619079589845,1.0,1.0,1.0,0.9987723214285432,7,0.7,1,rainfall_strict_d7_complete,hydrometeorological,7.519031882286072,True,True,True,True,True,True,True,included,eligible,eligible
PEV1_2020-08-07_6a8863739516,DLR_KR0001,KR0001,8,8,1.0,1.0,1.0,0.000652313232421875,1.0,1.0,1.0,0.9999999999999338,3,1.0,1,rainfall_strict_d7_complete,hydrometeorological,16.84742832183838,True,True,True,True,True,True,True,included,eligible,eligible
PEV1_2017-06-24_4702943f3593,DLR_CN0001,CN0001,21,21,1.0,1.0,1.0,0.03956531343005952,1.0,1.0,1.0,0.9999999999999484,2,0.3333333333333333,1,rainfall_strict_d7_complete,hydrometeorological,12.290055632591248,True,True,True,True,True,True,True,included,eligible,eligible
