protocol_id,fold_id,sample_id,dataset_id,source_id,canonical_event_id,heldout_dataset_id,role,role_reason
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00268,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00269,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00295,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00296,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00297,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00298,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00323,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00324,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00325,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00326,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00348,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00349,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00351,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00352,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
pild_geo4_event_isolated_qc_v1,event_isolated,EID_BR0001__SID_00353,DLR_Landslide_Ref_2025,PILD,CEV1_UNMERGED_2d96cbfac8cae409,,test,canonical_event_partition
